pokemonid,name,Pokedex,sprite,type1id,type2id,speciesid,height,weight,abilities1id,abilities2id,abilities3id,evYield,catchRate,baseFriendship,baseExp,growthRate,eggGroups1id,eggGroups2id,gender,eggCycles,hpBase,hpMin,hpMax,attackBase,attackMin,attackMax,defenseBase,defenseMin,defenseMax,specialAttackBase,specialAttackMin,specialAttackMax,specialDefenseBase,specialDefenseMin,specialDefenseMax,speedBase,speedMin,speedMax,spriteImage
214,Cursola,864,https://drive.google.com/file/d/1ao5dtTpfnUSADfnwNnnLTJNA0NZVGj49/view?usp=drivesdk,9,,146,1.0 m (3′03″),0.4 kg (0.9 lbs),435,239,,2 Sp. Atk,"30 (3.9% with PokéBall, full HP)",50 (normal),179,Fast,14,16,"25% male, 75% female","20 (4,884–5,140 steps)",60,230,324,95,175,317,50,94,218,145,265,427,130,238,394,30,58,174,
215,Cutiefly,742,https://drive.google.com/file/d/1OjMP8a3BCuqLgilhjZyXPfTODKhunq1-/view?usp=drivesdk,1,5,166,0.1 m (0′04″),0.2 kg (0.4 lbs),137,325,380,1 Speed,"190 (24.8% with PokéBall, full HP)",50 (normal),61,Medium Fast,3,6,"50% male, 50% female","20 (4,884–5,140 steps)",40,190,284,45,85,207,40,76,196,55,103,229,40,76,196,84,155,293,
216,Cyclizar,967,https://drive.google.com/file/d/1mJ4HNHTcDJ12xmq0KCqqaLcCr1jW0CtF/view?usp=drivesdk,3,13,167,1.6 m (5′03″),63.0 kg (138.9 lbs),319,285,,2 Speed,"190 (24.8% with PokéBall, full HP)",50 (normal),175,Medium Slow,7,,"50% male, 50% female","30 (7,454–7,710 steps)",70,250,344,95,175,317,65,121,251,85,157,295,65,121,251,121,222,375,
217,Cyndaquil,155,https://drive.google.com/file/d/1L92sft0rc3Cdd7FVUCizK35-NEHqxmsT/view?usp=drivesdk,7,,168,0.5 m (1′08″),7.9 kg (17.4 lbs),31,99,,1 Speed,"45 (5.9% with PokéBall, full HP)",50 (normal),62,Medium Slow,7,,"87.5% male, 12.5% female","20 (4,884–5,140 steps)",39,188,282,52,98,223,43,81,203,60,112,240,50,94,218,65,121,251,
218,Dachsbun,927,https://drive.google.com/file/d/19QZYJICw5UIoQ7g2K0zXU3asuCmv7fg2/view?usp=drivesdk,5,,72,0.5 m (1′08″),14.9 kg (32.8 lbs),437,17,,2 Speed,"90 (11.8% with PokéBall, full HP)",50 (normal),167,Medium Slow,7,11,"50% male, 50% female","20 (4,884–5,140 steps)",57,224,318,80,148,284,115,211,361,50,94,218,80,148,284,95,175,317,
219,Darkrai,491,https://drive.google.com/file/d/1NJXhmL2rtYK6ZItqmWEtFLVyxZ_u46N4/view?usp=drivesdk,2,,169,1.5 m (4′11″),50.5 kg (111.3 lbs),20,,,"2 Sp. Atk, 1 Speed","3 (0.4% with PokéBall, full HP)",0 (lower than normal),270,Slow,13,,Genderless,"120 (30,584–30,840 steps)",70,250,344,90,166,306,90,166,306,135,247,405,90,166,306,125,229,383,
220,Darmanitan Standard Mode,555,https://drive.google.com/file/d/1-NQ7uYn7WsRRXPve1HvXclndhb6Pn_jM/view?usp=drivesdk,7,,170,1.3 m (4′03″),92.9 kg (204.8 lbs),321,446,,2 Attack,"60 (7.8% with PokéBall, full HP)",50 (normal),168,Medium Slow,7,,"50% male, 50% female","20 (4,884–5,140 steps)",105,320,414,140,256,416,55,103,229,30,58,174,55,103,229,95,175,317,
221,Darmanitan Zen Mode,555,https://drive.google.com/file/d/1IFIOY6kFgz_rH5vACqVbF4RKhVvaAVS1/view?usp=drivesdk,7,15,170,1.3 m (4′03″),92.9 kg (204.8 lbs),321,446,,2 Sp. Atk,"60 (7.8% with PokéBall, full HP)",50 (normal),189,Medium Slow,7,,"50% male, 50% female","20 (4,884–5,140 steps)",105,320,414,30,58,174,105,193,339,140,256,416,105,193,339,55,103,229,
222,Darmanitan Galarian Standard Mode,555,https://drive.google.com/file/d/1ZescEXwk5qXV6EHh4UG8IpNBHKDH809l/view?usp=drivesdk,12,,171,1.7 m (5′07″),120.0 kg (264.6 lbs),119,446,,2 Attack,"60 (7.8% with PokéBall, full HP)",50 (normal),168,Medium Slow,7,,"50% male, 50% female","20 (4,884–5,140 steps)",105,320,414,140,256,416,55,103,229,30,58,174,55,103,229,95,175,317,
223,Darmanitan Galarian Zen Mode,555,https://drive.google.com/file/d/1LP-KbikqzXafk6MSwxpt0hh1rDTD0jle/view?usp=drivesdk,12,7,171,1.7 m (5′07″),120.0 kg (264.6 lbs),119,446,,2 Sp. Atk,"60 (7.8% with PokéBall, full HP)",50 (normal),168,Medium Slow,7,,"50% male, 50% female","20 (4,884–5,140 steps)",105,320,414,160,292,460,55,103,229,30,58,174,55,103,229,135,247,405,
224,Dartrix,723,https://drive.google.com/file/d/1rhUC9USWEKcTpujSJ9RiIQRPEAAjaa-m/view?usp=drivesdk,10,8,172,0.7 m (2′04″),16.0 kg (35.3 lbs),233,189,,2 HP,"45 (5.9% with PokéBall, full HP)",50 (normal),147,Medium Slow,8,,"87.5% male, 12.5% female","15 (3,599–3,855 steps)",78,266,360,75,139,273,75,139,273,70,130,262,70,130,262,52,98,223,
225,Darumaka,554,https://drive.google.com/file/d/1q9uP2VDTvm-sbF_OkBbuRm8CPJ8yIEmu/view?usp=drivesdk,7,,171,0.6 m (2′00″),37.5 kg (82.7 lbs),143,161,,1 Attack,"120 (15.7% with PokéBall, full HP)",50 (normal),63,Medium Slow,7,,"50% male, 50% female","20 (4,884–5,140 steps)",70,250,344,90,166,306,45,85,207,15,31,141,45,85,207,50,94,218,
226,Galarian Darumaka,554,https://drive.google.com/file/d/1jcnnsX1dPmmzn-Cd0UBJujt1ySfz7HEV/view?usp=drivesdk,12,,171,0.7 m (2′04″),40.0 kg (88.2 lbs),143,161,,1 Attack,"120 (15.7% with PokéBall, full HP)",50 (normal),63,Medium Slow,7,,"50% male, 50% female","20 (4,884–5,140 steps)",70,250,344,90,166,306,45,85,207,15,31,141,45,85,207,50,94,218,
227,Decidueye,724,https://drive.google.com/file/d/1etE26CrEIvmTLhM4v9z_Q7bhpAQ-ogqe/view?usp=drivesdk,10,9,173,1.6 m (5′03″),36.6 kg (80.7 lbs),233,189,,3 Attack,"45 (5.9% with PokéBall, full HP)",50 (normal),265,Medium Slow,8,,"87.5% male, 12.5% female","15 (3,599–3,855 steps)",78,266,360,107,197,344,75,139,273,100,184,328,100,184,328,70,130,262,
228,Hisuian Decidueye,724,https://drive.google.com/file/d/1jM8w_dIBp7vh_u2UMy5Id0QFmGphBi0N/view?usp=drivesdk,10,6,173,1.6 m (5′03″),37.0 kg (81.6 lbs),233,309,,3 Attack,"45 (5.9% with PokéBall, full HP)",50 (normal),265,Medium Slow,8,,"87.5% male, 12.5% female","15 (3,599–3,855 steps)",88,286,380,112,206,355,80,148,284,95,175,317,95,175,317,60,112,240,
229,Dedenne,702,https://drive.google.com/file/d/1aHpgOD3T23kMiYw8i2IrMIEID9fDpZy8/view?usp=drivesdk,4,5,174,0.2 m (0′08″),2.2 kg (4.9 lbs),35,242,247,2 Speed,"180 (23.5% with PokéBall, full HP)",50 (normal),151,Medium Fast,6,7,"50% male, 50% female","20 (4,884–5,140 steps)",67,244,338,58,108,236,57,107,234,81,150,287,67,125,256,101,186,331,
230,Deerling,585,https://drive.google.com/file/d/1fkD6BNlciG64L3QtP5IpSJ677g-tk6xv/view?usp=drivesdk,13,10,175,0.6 m (2′00″),19.5 kg (43.0 lbs),37,305,313,1 Speed,"190 (24.8% with PokéBall, full HP)",50 (normal),67,Medium Fast,7,,"50% male, 50% female","20 (4,884–5,140 steps)",60,230,324,60,112,240,50,94,218,40,76,196,50,94,218,75,139,273,
231,Deino,633,https://drive.google.com/file/d/1LCGqrHXbaDxcHkjOqa8ogq6Rf7Lu_4DU/view?usp=drivesdk,2,3,176,0.8 m (2′07″),17.3 kg (38.1 lbs),143,,,1 Attack,"45 (5.9% with PokéBall, full HP)",35 (lower than normal),60,Slow,5,,"50% male, 50% female","40 (10,024–10,280 steps)",52,214,308,65,121,251,50,94,218,45,85,207,50,94,218,38,72,192,
232,Delcatty,301,https://drive.google.com/file/d/1INJyqcL73BlfIT1zzGJ111HdjN5rZTbm/view?usp=drivesdk,13,,177,1.1 m (3′07″),32.6 kg (71.9 lbs),61,226,445,"1 HP, 1 Speed","60 (7.8% with PokéBall, full HP)",50 (normal),140,Fast,6,7,"25% male, 75% female","15 (3,599–3,855 steps)",70,250,344,65,121,251,65,121,251,55,103,229,55,103,229,90,166,306,
233,Delibird,225,https://drive.google.com/file/d/151cZvpMOxdYDU6ZKKYz2NXepq0a7jIGy/view?usp=drivesdk,12,8,178,0.9 m (2′11″),16.0 kg (35.3 lbs),424,143,163,1 Speed,"45 (5.9% with PokéBall, full HP)",50 (normal),116,Fast,7,14,"50% male, 50% female","20 (4,884–5,140 steps)",45,200,294,55,103,229,45,85,207,65,121,251,45,85,207,75,139,273,
234,Delphox,655,https://drive.google.com/file/d/1horJa4GBSOEbuTUquz5VV37V7GwxxNVt/view?usp=drivesdk,7,15,77,1.5 m (4′11″),39.0 kg (86.0 lbs),31,195,,3 Sp. Atk,"45 (5.9% with PokéBall, full HP)",50 (normal),267,Medium Slow,7,,"87.5% male, 12.5% female","20 (4,884–5,140 steps)",75,260,354,69,128,260,72,134,267,114,209,359,100,184,328,104,191,337,
235,Deoxys Normal Forme,386,https://drive.google.com/file/d/1Cyz_F09pLjrXM3soLofShvzk7uiK5H34/view?usp=drivesdk,15,,179,1.7 m (5′07″),60.8 kg (134.0 lbs),259,,,"1 Attack, 1 Sp. Atk, 1 Speed","3 (0.4% with PokéBall, full HP)",0 (lower than normal),270,Slow,13,,Genderless,"120 (30,584–30,840 steps)",50,210,304,150,274,438,50,94,218,150,274,438,50,94,218,150,274,438,
236,Deoxys Attack Forme,386,https://drive.google.com/file/d/1gIKP78LDXRACY1goAG17KAlbNfi6f9z8/view?usp=drivesdk,15,,179,1.7 m (5′07″),60.8 kg (134.0 lbs),259,,,"2 Attack, 1 Sp. Atk","3 (0.4% with PokéBall, full HP)",0 (lower than normal),270,Slow,13,,Genderless,"120 (30,584–30,840 steps)",50,210,304,180,328,504,20,40,152,180,328,504,20,40,152,150,274,438,
237,Deoxys Defense Forme,386,https://drive.google.com/file/d/1FwkgMB8Lwp2oNvSF_mUH0UC0ppkhbVVU/view?usp=drivesdk,15,,179,1.7 m (5′07″),60.8 kg (134.0 lbs),259,,,"2 Defense, 1 Sp. Def","3 (0.4% with PokéBall, full HP)",0 (lower than normal),270,Slow,13,,Genderless,"120 (30,584–30,840 steps)",50,210,304,70,130,262,160,292,460,70,130,262,160,292,460,90,166,306,
238,Deoxys Speed Forme,386,https://drive.google.com/file/d/1H7FLqssXtzDRx0tlvACoBSdLqnLZnuU5/view?usp=drivesdk,15,,179,1.7 m (5′07″),60.8 kg (134.0 lbs),259,,,3 Speed,"3 (0.4% with PokéBall, full HP)",0 (lower than normal),270,Slow,13,,Genderless,"120 (30,584–30,840 steps)",50,210,304,95,175,317,90,166,306,95,175,317,90,166,306,180,328,504,
239,Dewgong,87,https://drive.google.com/file/d/11Eq447CNlJFu_7SzMsLcmV32_5f3c5Pa/view?usp=drivesdk,18,12,180,1.7 m (5′07″),120.0 kg (264.6 lbs),399,145,149,2 Sp. Def,"75 (9.8% with PokéBall, full HP)",50 (normal),166,Medium Fast,7,14,"50% male, 50% female","20 (4,884–5,140 steps)",90,290,384,70,130,262,80,148,284,70,130,262,95,175,317,70,130,262,
240,Dewott,502,https://drive.google.com/file/d/10_aEFo_cjz22NCHQBZW92OdNRYfaWUMR/view?usp=drivesdk,18,,181,0.8 m (2′07″),24.5 kg (54.0 lbs),403,324,,2 Sp. Atk,"45 (5.9% with PokéBall, full HP)",50 (normal),145,Medium Slow,7,,"87.5% male, 12.5% female","20 (4,884–5,140 steps)",75,260,354,75,139,273,60,112,240,83,153,291,60,112,240,60,112,240,
241,Dewpider,751,https://drive.google.com/file/d/1lAupoxkg19G3DXDp7DY0_Q1OeIYGthG_/view?usp=drivesdk,18,1,19,0.3 m (1′00″),4.0 kg (8.8 lbs),431,430,,1 Sp. Def,"200 (26.1% with PokéBall, full HP)",50 (normal),54,Medium Fast,3,14,"50% male, 50% female","15 (3,599–3,855 steps)",38,186,280,40,76,196,52,98,223,40,76,196,72,134,267,27,53,168,
242,Dhelmise,781,https://drive.google.com/file/d/1cBFdBKEhC74rCUddmezsbN30etqf0Q7s/view?usp=drivesdk,9,10,182,3.9 m (12′10″),210.0 kg (463.0 lbs),360,,,2 Attack,"25 (3.3% with PokéBall, full HP)",50 (normal),181,Medium Fast,11,,Genderless,"25 (6,169–6,425 steps)",70,250,344,131,240,397,100,184,328,86,159,298,90,166,306,40,76,196,
243,Dialga,483,https://drive.google.com/file/d/1PwicQ1hfE0GMwkgfkv-jm63r0DxuJkgN/view?usp=drivesdk,17,3,183,5.4 m (17′09″),683.0 kg (1505.8 lbs),259,393,,3 Sp. Atk,"3 (0.4% with PokéBall, full HP)",0 (lower than normal),340,Slow,13,,Genderless,"120 (30,584–30,840 steps)",100,310,404,120,220,372,120,220,372,150,274,438,100,184,328,90,166,306,
244,Dialga Origin Forme,483,https://drive.google.com/file/d/1vgwy92lDG3BcAQdfVzHoNl7Hgjhhchb4/view?usp=drivesdk,17,3,183,7.0 m (23′00″),850.0 kg (1873.9 lbs),259,393,,3 Sp. Atk,"3 (0.4% with PokéBall, full HP)",0 (lower than normal),340,Slow,13,,Genderless,"120 (30,584–30,840 steps)",100,310,404,100,184,328,120,220,372,150,274,438,120,220,372,90,166,306,
245,Diancie,719,https://drive.google.com/file/d/1_XhUNmBcdC8DctPXCs_GMPKZwBDLVMUh/view?usp=drivesdk,16,5,99,0.7 m (2′04″),8.8 kg (19.4 lbs),39,,,"1 Defense, 2 Sp. Def","3 (0.4% with PokéBall, full HP)",50 (normal),300,Slow,13,,Genderless,"25 (6,169–6,425 steps)",50,210,304,100,184,328,150,274,438,100,184,328,150,274,438,50,94,218,
246,Mega Diancie,719,https://drive.google.com/file/d/1Hi82crWUGYKIazxh_leAOETiIYW26mCB/view?usp=drivesdk,16,5,99,1.1 m (3′07″),27.8 kg (61.3 lbs),190,,,"1 Defense, 2 Sp. Def","3 (0.4% with PokéBall, full HP)",50 (normal),315,Slow,13,,Genderless,"25 (6,169–6,425 steps)",50,210,304,160,292,460,110,202,350,160,292,460,110,202,350,110,202,350,
247,Diggersby,660,https://drive.google.com/file/d/1i0y3nQSjyQ0f18tNlee7H5_6_llR3GPj/view?usp=drivesdk,13,11,90,1.0 m (3′03″),42.4 kg (93.5 lbs),242,35,141,2 HP,"127 (16.6% with PokéBall, full HP)",50 (normal),148,Medium Fast,7,,"50% male, 50% female","15 (3,599–3,855 steps)",85,280,374,56,105,232,77,143,278,50,94,218,77,143,278,78,144,280,
248,Diglett,50,https://drive.google.com/file/d/1sJ-e_onArZWExcReEsNZevlgi3vReqOM/view?usp=drivesdk,11,,184,0.2 m (0′08″),0.8 kg (1.8 lbs),303,14,298,1 Speed,"255 (33.3% with PokéBall, full HP)",50 (normal),53,Medium Fast,7,,"50% male, 50% female","20 (4,884–5,140 steps)",10,130,224,55,103,229,25,49,163,35,67,185,45,85,207,95,175,317,
249,Alolan Diglett,50,https://drive.google.com/file/d/1FpIHgrlU-bRNi20a_25ny_NB2Uzt6Fve/view?usp=drivesdk,11,17,184,0.2 m (0′08″),1.0 kg (2.2 lbs),303,389,298,1 Speed,"255 (33.3% with PokéBall, full HP)",50 (normal),53,Medium Fast,7,,"50% male, 50% female","20 (4,884–5,140 steps)",10,130,224,55,103,229,30,58,174,35,67,185,45,85,207,90,166,306,
250,Dipplin,1011,https://drive.google.com/file/d/1fSmnZmPeTgzgEJcI7GUFSzvayjRPuc7v/view?usp=drivesdk,10,3,185,0.4 m (1′04″),4.4 kg (9.7 lbs),374,114,365,2 Defense,"45 (5.9% with PokéBall, full HP)",,,Erratic,5,9,"50% male, 50% female",,80,270,364,80,148,284,110,202,350,95,175,317,80,148,284,40,76,196,
251,Ditto,132,https://drive.google.com/file/d/1PKG64QV74_QgZ23MjNHVbDF-5UxZL8rA/view?usp=drivesdk,13,,186,0.3 m (1′00″),4.0 kg (8.8 lbs),184,156,,1 HP,"35 (4.6% with PokéBall, full HP)",50 (normal),101,Medium Fast,4,,Genderless,"20 (4,884–5,140 steps)",48,206,300,48,90,214,48,90,214,48,90,214,48,90,214,48,90,214,
252,Dodrio,85,https://drive.google.com/file/d/1etLPd8DPxHzyWrbPWtqxuNH4dU5Up1vV/view?usp=drivesdk,13,8,187,1.8 m (5′11″),85.2 kg (187.8 lbs),295,83,388,2 Attack,"45 (5.9% with PokéBall, full HP)",50 (normal),165,Medium Fast,8,,"50% male, 50% female","20 (4,884–5,140 steps)",60,230,324,110,202,350,70,130,262,60,112,240,60,112,240,110,202,350,
253,Doduo,84,https://drive.google.com/file/d/1Bnl25aBo5riaYDnKuwxZobMrfEUQnNSR/view?usp=drivesdk,13,8,188,1.4 m (4′07″),39.2 kg (86.4 lbs),295,83,388,1 Attack,"190 (24.8% with PokéBall, full HP)",50 (normal),62,Medium Fast,8,,"50% male, 50% female","20 (4,884–5,140 steps)",35,180,274,85,157,295,45,85,207,35,67,185,35,67,185,75,139,273,
254,Dolliv,929,https://drive.google.com/file/d/1C_jLteLh9njhaDTdPinM-1Th_NKMKBI8/view?usp=drivesdk,10,13,21,0.6 m (2′00″),11.9 kg (26.2 lbs),83,130,,2 Sp. Atk,"120 (15.7% with PokéBall, full HP)",50 (normal),124,Medium Slow,9,,"50% male, 50% female","20 (4,884–5,140 steps)",52,214,308,53,99,225,60,112,240,78,144,280,78,144,280,33,63,181,
255,Dondozo,977,https://drive.google.com/file/d/1_ZDCzaHp_v8FbCiCCbbOaR1PDytm9iAx/view?usp=drivesdk,18,,189,12.0 m (39′04″),220.0 kg (485.0 lbs),415,227,434,3 HP,"25 (3.3% with PokéBall, full HP)",50 (normal),265,Slow,15,,"50% male, 50% female","40 (10,024–10,280 steps)",150,410,504,100,184,328,115,211,361,65,121,251,65,121,251,35,67,185,
256,Donphan,232,https://drive.google.com/file/d/1rLwdeqyUSE6l1SaVEgwrXSmoIVxL3UQa/view?usp=drivesdk,11,,190,1.1 m (3′07″),120.0 kg (264.6 lbs),369,304,,"1 Attack, 1 Defense","60 (7.8% with PokéBall, full HP)",50 (normal),175,Medium Fast,7,,"50% male, 50% female","20 (4,884–5,140 steps)",90,290,384,120,220,372,120,220,372,60,112,240,60,112,240,50,94,218,
257,Dottler,825,https://drive.google.com/file/d/11gTsQfG3PFk7sfy-9_npZxO0uL5tWB06/view?usp=drivesdk,1,15,191,0.4 m (1′04″),19.5 kg (43.0 lbs),377,48,393,2 Sp. Def,"120 (15.7% with PokéBall, full HP)",50 (normal),117,Medium Fast,3,,"50% male, 50% female","15 (3,599–3,855 steps)",50,210,304,35,67,185,80,148,284,50,94,218,90,166,306,30,58,174,
258,Doublade,680,https://drive.google.com/file/d/1ZAe91LF6lboNi1nOG_vdW6VNy6IPSTqW/view?usp=drivesdk,17,9,192,0.8 m (2′07″),4.5 kg (9.9 lbs),224,,,2 Defense,"90 (11.8% with PokéBall, full HP)",50 (normal),157,Medium Fast,11,,"50% male, 50% female","20 (4,884–5,140 steps)",59,228,322,110,202,350,150,274,438,45,85,207,49,92,216,35,67,185,
259,Dracovish,882,https://drive.google.com/file/d/14Nr9c2ss8KUil9OxCPy7mXeXiW-7R1v6/view?usp=drivesdk,18,3,6,2.3 m (7′07″),215.0 kg (474.0 lbs),429,368,300,2 Defense,"45 (5.9% with PokéBall, full HP)",50 (normal),177,Slow,13,,Genderless,"35 (8,739–8,995 steps)",90,290,384,90,166,306,100,184,328,70,130,262,80,148,284,75,139,273,
260,Dracozolt,880,https://drive.google.com/file/d/11Re59dBgUkoj6rNDbxUdnRsaoKEVR7iB/view?usp=drivesdk,4,3,6,1.8 m (5′11″),190.0 kg (418.9 lbs),426,143,300,2 Attack,"45 (5.9% with PokéBall, full HP)",50 (normal),177,Slow,13,,Genderless,"35 (8,739–8,995 steps)",90,290,384,100,184,328,90,166,306,80,148,284,70,130,262,75,139,273,
261,Dragalge,691,https://drive.google.com/file/d/1zcVsiobyZbqms3DHtpy4BdokaXKkN9Nb/view?usp=drivesdk,14,3,193,1.8 m (5′11″),81.5 kg (179.7 lbs),250,252,3,2 Sp. Def,"55 (7.2% with PokéBall, full HP)",50 (normal),173,Medium Fast,5,14,"50% male, 50% female","20 (4,884–5,140 steps)",65,240,334,75,139,273,90,166,306,97,179,322,123,225,379,44,83,205,
262,Dragapult,887,https://drive.google.com/file/d/1HgkrNDobf0eieGVcpgrv-bSmxjl9wex0/view?usp=drivesdk,3,9,194,3.0 m (9′10″),50.0 kg (110.2 lbs),39,157,60,3 Speed,"45 (5.9% with PokéBall, full HP)",50 (normal),300,Slow,2,5,"50% male, 50% female","40 (10,024–10,280 steps)",88,286,380,120,220,372,75,139,273,100,184,328,75,139,273,142,260,421,
263,Dragonair,148,https://drive.google.com/file/d/1sN1FCKhe7IRPq1z_BoqHS0RZvt3WWzFk/view?usp=drivesdk,3,,195,4.0 m (13′01″),16.5 kg (36.4 lbs),319,199,,2 Attack,"45 (5.9% with PokéBall, full HP)",35 (lower than normal),147,Slow,5,14,"50% male, 50% female","40 (10,024–10,280 steps)",61,232,326,84,155,293,65,121,251,70,130,262,70,130,262,70,130,262,
264,Dragonite,149,https://drive.google.com/file/d/1yFeOdxQ9LQR5uk1CId6h7vAMrTHfhomf/view?usp=drivesdk,3,8,195,2.2 m (7′03″),210.0 kg (463.0 lbs),160,216,,3 Attack,"45 (5.9% with PokéBall, full HP)",35 (lower than normal),300,Slow,5,14,"50% male, 50% female","40 (10,024–10,280 steps)",91,292,386,134,245,403,95,175,317,100,184,328,100,184,328,80,148,284,
265,Drakloak,886,https://drive.google.com/file/d/16W0xE-szBYHJMbGXwDEWHaOj_uVM1Fh9/view?usp=drivesdk,3,9,196,1.4 m (4′07″),11.0 kg (24.3 lbs),39,157,60,2 Speed,"45 (5.9% with PokéBall, full HP)",50 (normal),144,Slow,2,5,"50% male, 50% female","40 (10,024–10,280 steps)",68,246,340,80,148,284,50,94,218,60,112,240,50,94,218,102,188,333,
266,Drampa,780,https://drive.google.com/file/d/1QjGIVFQSmmQ7paF_n1e3FdMkWkDANwPU/view?usp=drivesdk,13,3,197,3.0 m (9′10″),185.0 kg (407.9 lbs),28,305,42,2 Sp. Atk,"70 (9.1% with PokéBall, full HP)",50 (normal),170,Medium Fast,5,12,"50% male, 50% female","20 (4,884–5,140 steps)",78,266,360,60,112,240,85,157,295,135,247,405,91,168,309,36,69,188,
267,Drapion,452,https://drive.google.com/file/d/16kNTCcP8sopyMKIkzZDtRGJ8IHsdXv_8/view?usp=drivesdk,14,2,198,1.3 m (4′03″),61.5 kg (135.6 lbs),23,335,173,2 Defense,"45 (5.9% with PokéBall, full HP)",50 (normal),175,Slow,3,16,"50% male, 50% female","20 (4,884–5,140 steps)",70,250,344,90,166,306,110,202,350,60,112,240,75,139,273,95,175,317,
268,Dratini,147,https://drive.google.com/file/d/1qhf5X5YSMnwimzNVri5MSXJ3bxXUoKZC/view?usp=drivesdk,3,,195,1.8 m (5′11″),3.3 kg (7.3 lbs),319,199,,1 Attack,"45 (5.9% with PokéBall, full HP)",35 (lower than normal),60,Slow,5,14,"50% male, 50% female","40 (10,024–10,280 steps)",41,192,286,64,119,249,45,85,207,50,94,218,50,94,218,50,94,218,
269,Drednaw,834,https://drive.google.com/file/d/1z8t9gcmCos4h62p41r_zKpkfH8855nbh/view?usp=drivesdk,18,16,199,1.0 m (3′03″),115.5 kg (254.6 lbs),368,323,382,2 Attack,"75 (9.8% with PokéBall, full HP)",50 (normal),170,Medium Fast,12,14,"50% male, 50% female","20 (4,884–5,140 steps)",90,290,384,115,211,361,90,166,306,48,90,214,68,126,258,74,137,271,
270,Dreepy,885,https://drive.google.com/file/d/19lUHm_RhfKkf6w7w5F6WsBTPUcEKWOTN/view?usp=drivesdk,3,9,200,0.5 m (1′08″),2.0 kg (4.4 lbs),39,157,60,1 Speed,"45 (5.9% with PokéBall, full HP)",50 (normal),54,Slow,2,5,"50% male, 50% female","40 (10,024–10,280 steps)",28,166,260,60,112,240,30,58,174,40,76,196,30,58,174,82,152,289,
271,Drifblim,426,https://drive.google.com/file/d/1Op-Lv-bSwWxc_rniRsNER5oXzNKHHf8K/view?usp=drivesdk,9,8,201,1.2 m (3′11″),15.0 kg (33.1 lbs),5,417,97,2 HP,"60 (7.8% with PokéBall, full HP)",50 (normal),174,Fluctuating,2,,"50% male, 50% female","30 (7,454–7,710 steps)",150,410,504,80,148,284,44,83,205,90,166,306,54,101,227,80,148,284,
272,Drifloon,425,https://drive.google.com/file/d/1k21ltbJ2_lcgTYOl7TOrkL6Dq9ZTV6aA/view?usp=drivesdk,9,8,202,0.4 m (1′04″),1.2 kg (2.6 lbs),5,417,97,1 HP,"125 (16.3% with PokéBall, full HP)",50 (normal),70,Fluctuating,2,,"50% male, 50% female","30 (7,454–7,710 steps)",90,290,384,50,94,218,34,65,183,60,112,240,44,83,205,70,130,262,
273,Drilbur,529,https://drive.google.com/file/d/161mKBidy-7S2v5Q4uRtYCbwj0qMLerbg/view?usp=drivesdk,11,,184,0.3 m (1′00″),8.5 kg (18.7 lbs),299,297,210,1 Attack,"120 (15.7% with PokéBall, full HP)",50 (normal),66,Medium Fast,7,,"50% male, 50% female","20 (4,884–5,140 steps)",60,230,324,85,157,295,40,76,196,30,58,174,45,85,207,68,126,258,
274,Drizzile,817,https://drive.google.com/file/d/124vGMfN4wVZ-i63gthtGot8cm6tF-hq4/view?usp=drivesdk,18,,203,0.7 m (2′04″),11.5 kg (25.4 lbs),403,336,,2 Sp. Atk,"45 (5.9% with PokéBall, full HP)",50 (normal),147,Medium Slow,7,14,"87.5% male, 12.5% female","20 (4,884–5,140 steps)",65,240,334,60,112,240,55,103,229,95,175,317,55,103,229,90,166,306,
275,Drowzee,96,https://drive.google.com/file/d/1llk3kOCkjuif29aK4TYI6aYQ6R6B59Fp/view?usp=drivesdk,15,,204,1.0 m (3′03″),32.4 kg (71.4 lbs),162,105,161,1 Sp. Def,"190 (24.8% with PokéBall, full HP)",50 (normal),66,Medium Fast,10,,"50% male, 50% female","20 (4,884–5,140 steps)",60,230,324,48,90,214,45,85,207,43,81,203,90,166,306,42,80,201,
276,Druddigon,621,https://drive.google.com/file/d/1WDKGanl0GaQtmHdCL0tM1IKV3eb9ETte/view?usp=drivesdk,3,,205,1.6 m (5′03″),139.0 kg (306.4 lbs),293,321,210,2 Attack,"45 (5.9% with PokéBall, full HP)",50 (normal),170,Medium Fast,5,12,"50% male, 50% female","30 (7,454–7,710 steps)",77,264,358,120,220,372,90,166,306,60,112,240,90,166,306,48,90,214,
277,Dubwool,832,https://drive.google.com/file/d/17JT_iX3Dmn0PuWqRCUDtULJrHjBADOQl/view?usp=drivesdk,13,,206,1.3 m (4′03″),43.0 kg (94.8 lbs),102,357,34,2 Defense,"127 (16.6% with PokéBall, full HP)",50 (normal),172,Medium Fast,7,,"50% male, 50% female","15 (3,599–3,855 steps)",72,254,348,80,148,284,100,184,328,60,112,240,90,166,306,88,162,302,
278,Ducklett,580,https://drive.google.com/file/d/1WEr8dKNVoe_p7s5cfPZQq8c7TD5FxgKw/view?usp=drivesdk,18,8,207,0.5 m (1′08″),5.5 kg (12.1 lbs),172,29,146,1 HP,"190 (24.8% with PokéBall, full HP)",50 (normal),61,Medium Fast,8,14,"50% male, 50% female","20 (4,884–5,140 steps)",62,234,328,44,83,205,50,94,218,44,83,205,50,94,218,55,103,229,
